Parent,name,class,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,reference-term-source,reference-term-code,reference-term-relationship
General Examination,Head Exam,Misc,Text,,,,,,,,,,,,,,,,,,,,,
General Examination,Eye Exam,Misc,Text,,,,,,,,,,,,,,,,,,,,,
General Examination,Neck Exam,Misc,Text,,,,,,,,,,,,,,,,,,,,,
General Examination,Thorax Exam,Misc,Text,,,,,,,,,,,,,,,,,,,,,
General Examination,Abdomen Exam,Misc,Text,,,,,,,,,,,,,,,,,,,,,
General Examination,Extremeties Exam,Misc,Text,,,,,,,,,,,,,,,,,,,,,
Systemic Examination,CNS,Misc,Text,,,,,,,,,,,,,,,,,,,,,
Systemic Examination,CVS,Misc,Text,,,,,,,,,,,,,,,,,,,,,
Systemic Examination,RIS,Misc,Text,,,,,,,,,,,,,,,,,,,,,
Systemic Examination,GIUS,Misc,Text,,,,,,,,,,,,,,,,,,,,,
Systemic Examination,Integumentary/Lymphatic system,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,3.2 Physical Examination at baseline,Misc,Block,,,,,,"General Examination,Systemic Examination",,,,,,,,,,,,,,,
3.3 Photo documentation,View,Misc,Coded,,,,,,,"Anterior view,Right lateral view,Posterior view,Left lateral view,Video recording of special procedure,Video recording of gait",,,,,,,,,,,,,,
3.3 Photo documentation,Image,Image,Complex,,,,,,,,,,,,,,,,,,,,,
3.3 Photo documentation,Others/Discussed,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Total Count,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,N:________ %,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,L:________ %,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,E:________ %,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,B:________ %,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,M:________ %,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Differential Count,Misc,Block,,,,,,"N:________ %,L:________ %,E:________ %,B:________ %,M:________ %",,,,,,,,,,,,,,,
,ESR at 1st hour,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Hb%(gm%),Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Plasma glucose level (PGL),Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Serum creatinine,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,ALT,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,SGPT,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,SGOT,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Serum Bilirubin,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Liver function tests,Misc,Block,,,,,,"ALT,SGPT,SGOT,Serum Bilirubin",,,,,,,,,,,,,,,
,Filariasis card test(ICT),Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Urine Analysis,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,ECG,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Pus for C/S,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Doppler study,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Ultrasonography of skin,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Other specific investigation,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,3.4 Baseline Investigations,Misc,Block,,,,,,"Total Count,Differential Count,ESR at 1st hour,Hb%(gm%),Plasma glucose level (PGL),Serum creatinine,Liver function tests,Filariasis card test(ICT),Urine Analysis,ECG,Pus for C/S,Doppler study,Ultrasonography of skin,Other specific investigation",,,,,,,,,,,,,,,
,Limb Length from ASIS to ground,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Foot Length from medial side,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Maximum calf bulk(in standing),Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Mid thigh,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Patellar region,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Maximal bulk,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,End of calf muscle bulk,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Ankle,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Mid foot,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Metatarsal ,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Distance from ASIS ,Misc,Block,,,,,,"Limb Length from ASIS to ground,Foot Length from medial side,Maximum calf bulk(in standing),Mid thigh,Patellar region,Maximal bulk,End of calf muscle bulk,Ankle,Mid foot,Metatarsal",,,,,,,,,,,,,,,
,Right Limb,Misc,Block,,,,,,"Limb Length from ASIS to ground,Foot Length from medial side,Maximum calf bulk(in standing),Mid thigh,Patellar region,Maximal bulk,End of calf muscle bulk,Ankle,Mid foot,Metatarsal",,,,,,,,,,,,,,,
,Left Limb,Misc,Block,,,,,,"Limb Length from ASIS to ground,Foot Length from medial side,Maximum calf bulk(in standing),Mid thigh,Patellar region,Maximal bulk,End of calf muscle bulk,Ankle,Mid foot,Metatarsal",,,,,,,,,,,,,,,
,Measuring points(cms) from ASIS ,Misc,Block,,,,,,"Distance from ASIS,Right Limb,Left Limb",,,,,,,,,,,,,,,
Limb volume (Displaced water method),Right Leg,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
Limb volume (Displaced water method),Left Leg,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Waist circumference,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Abdominal girth,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Height?,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Body Weight(Kg),Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Body weight time of measurement,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Body Mass index,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Measured by,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Reason if volume measurement not done,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Volume and body weight,Misc,Block,,,,,,"Limb volume (Displaced water method),Waist circumference,Abdominal girth,Height?,Body Weight(Kg),Body weight time of measurement,Body Mass index,Measured by,Reason if volume measurement not done",,,,,,,,,,,,,,,
,3.5 Limb Circumferential measurements template,Misc,Block,,,,,,"Measuring points(cms) from ASIS,Volume and body weight",,,,,,,,,,,,,,,
,Oedema,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Grading type,Misc,Coded,,,,,,,"I - Pitting edemaoedema may present; completely resolve on elevation (during overnight) and normal skin,II(early) - Pitting edemaoedema manifests; does not resolve completely  on elevation (overnight). Normal skin,II(late) - Late stages of II with non-pitting oedema & thickened skin,III - Oedema is not pitting with tropic skin changes; Acanthosis/Fat deposits/Warty over growth",,,,,,,,,,,,,,
,Grading* Assessment Right,Misc,Block,,,,,,"Oedema,Grading type",,,,,,,,,,,,,,,
,Grading* Assessment Left,Misc,Block,,,,,,"Oedema,Grading type",,,,,,,,,,,,,,,
,Grading Table,Misc,Block,,,,,,"Grading* Assessment Right,Grading* Assessment Left",,,,,,,,,,,,,,,
,Obesity related?,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Is it lipedema?,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Grading*,Misc,Block,,,,,,"Grading Table,Obesity related?,Is it lipedema?",,,,,,,,,,,,,,,
Second great toe thickness,Right skin fold,Misc,Coded,,,,,,,"1+ Easily pinchable like normal skin,2+ Skin Thickened but pinchable,3+ Skin Thickened but hardly pinchable,4+ Skin Thickened can not be pinched; Stemmer's Sign Positive",,,,,,,,,,,,,,
Second great toe thickness,Left skin fold,Misc,Coded,,,,,,,"1+ Easily pinchable like normal skin,2+ Skin Thickened but pinchable,3+ Skin Thickened but hardly pinchable,4+ Skin Thickened can not be pinched; Stemmer's Sign Positive",,,,,,,,,,,,,,
Mid foot thickness,Right skin fold,Misc,Coded,,,,,,,"1+ Easily pinchable like normal skin,2+ Skin Thickened but pinchable,3+ Skin Thickened but hardly pinchable,4+ Skin Thickened can not be pinched; Stemmer's Sign Positive",,,,,,,,,,,,,,
Mid foot thickness,Left skin fold,Misc,Coded,,,,,,,"1+ Easily pinchable like normal skin,2+ Skin Thickened but pinchable,3+ Skin Thickened but hardly pinchable,4+ Skin Thickened can not be pinched; Stemmer's Sign Positive",,,,,,,,,,,,,,
Any changes in grading at the different locations of limb,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
Any changes in grading at the different locations of limb,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Skin Fold thickness,Misc,Block,,,,,,"Second great toe thickness,Mid foot thickness,Any changes in grading at the different locations of limb",,,,,,,,,,,,,,,
,3.6 Assessment of Lymphoedema,Misc,Block,,,,,,"Grading*,Skin Fold thickness",,,,,,,,,,,,,,,
ADLA,Fever with chills and rigor?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
ADLA,Nausea and vomiting?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
ADLA,Lymphadenitis?,Misc,Coded,,,,,,,"Right-Limb,Left-Limb,Both limbs",,,,,,,,,,,,,,
ADLA,Warmth?,Misc,Coded,,,,,,,"Right-Limb,Left-Limb,Both limbs",,,,,,,,,,,,,,
ADLA,Erythema?,Misc,Coded,,,,,,,"Right-Limb,Left-Limb,Both limbs",,,,,,,,,,,,,,
ADLA,Tenderness?,Misc,Coded,,,,,,,"Right-Limb,Left-Limb,Both limbs",,,,,,,,,,,,,,
ADLA,Affected limb?,Misc,Coded,,,,,,,"Right-Limb,Left-Limb,Both limbs",,,,,,,,,,,,,,
,3.7 Dermatological Examination,Misc,Block,,,,,,"General Dermatological Exam,ADLA",,,,,,,,,,,,,,,
Associated complaints and prescribed medication,Associated complaints,Misc,Text,,,,,,,,,,,,,,,,,,,,,
Associated complaints and prescribed medication,Medication,Misc,Text,,,,,,,,,,,,,,,,,,,,,
Associated complaints and prescribed medication,Prescribing doctor / health center,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,3.8 Associated diseases and current medication,Misc,Block,,,,,,Associated complaints and prescribed medication,,,,,,,,,,,,,,,
,Ruksha(Xerosis),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Bahushopha pada(Dependant oedema of foot),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Sphutana(Fissures),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Krishna(Black pigmentation),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Theevra Thoda or Arti or Animitta rujam(Pricking pain),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Bahusho jwara(History of fever),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Vataja type - Right,Misc,Block,,,,,,"Ruksha(Xerosis),Bahushopha pada(Dependant oedema of foot),Sphutana(Fissures),Krishna(Black pigmentation),Theevra Thoda or Arti or Animitta rujam(Pricking pain),Bahusho jwara(History of fever)",,,,,,,,,,,,,,,
,Vataja type - Left,Misc,Block,,,,,,"Ruksha(Xerosis),Bahushopha pada(Dependant oedema of foot),Sphutana(Fissures),Krishna(Black pigmentation),Theevra Thoda or Arti or Animitta rujam(Pricking pain),Bahusho jwara(History of fever)",,,,,,,,,,,,,,,
,Vataja Table,Misc,Block,,,,,,"Vataja type - Right,Vataja type - Left",,,,,,,,,,,,,,,
,Daha(Burning Sensation),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Raktavarna(Redness),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Peetha varna(Yellow discolouration),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Samsrava(Discharge),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Mrudu(Soft),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Gurutwa(Heaviness),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Adhika shopha(Largely oedematus),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Jwara yukta(Warmth of limb or fever),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Pittaja type - Right,Misc,Block,,,,,,"Daha(Burning Sensation),Raktavarna(Redness),Peetha varna(Yellow discolouration),Samsrava(Discharge),Mrudu(Soft),Gurutwa(Heaviness),Adhika shopha(Largely oedematus),Jwara yukta(Warmth of limb or fever)",,,,,,,,,,,,,,,
,Pittaja type - Left,Misc,Block,,,,,,"Daha(Burning Sensation),Raktavarna(Redness),Peetha varna(Yellow discolouration),Samsrava(Discharge),Mrudu(Soft),Gurutwa(Heaviness),Adhika shopha(Largely oedematus),Jwara yukta(Warmth of limb or fever)",,,,,,,,,,,,,,,
,Pittaja Table,Misc,Block,,,,,,"Pittaja type - Right,Pittaja type - Left",,,,,,,,,,,,,,,
,Snigdha Snigdha varna(Oily/Shiny),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Shwethabha(Whitish),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Drudham/Sthiram(Organised),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Bahukanatakai parivrtam(With Nodules/warty growth),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Sthoola(Huge in size),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Guru Gurutwamanisham(Feeling Of Heaviness),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Sheethanvitha(Cold to Touch),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Adhika shopha(Largely edematous),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Kaphaja type - Right,Misc,Block,,,,,,"Snigdha Snigdha varna(Oily/Shiny),Shwethabha(Whitish),Drudham/Sthiram(Organised),Bahukanatakai parivrtam(With Nodules/warty growth),Sthoola(Huge in size),Guru Gurutwamanisham(Feeling Of Heaviness),Sheethanvitha(Cold to Touch),Adhika shopha(Largely edematous)",,,,,,,,,,,,,,,
,Kaphaja type - Left,Misc,Block,,,,,,"Snigdha Snigdha varna(Oily/Shiny),Shwethabha(Whitish),Drudham/Sthiram(Organised),Bahukanatakai parivrtam(With Nodules/warty growth),Sthoola(Huge in size),Guru Gurutwamanisham(Feeling Of Heaviness),Sheethanvitha(Cold to Touch),Adhika shopha(Largely edematous)",,,,,,,,,,,,,,,
,Kaphaja Table,Misc,Block,,,,,,"Kaphaja type - Right,Kaphaja type - Left",,,,,,,,,,,,,,,
,"Dominant Dosha(V,P,K,VP,PK,VK,VPK,PV,KP,KV) ",Misc,Coded,,,,,,,"VATAJA,PITTAJA,KAPHAJA,VATAJAPITTAJA,PITTAJAKAPHAJA,VATAJAKAPHAJA,VATAJAPITTAJAKAPHAJA,PITTAJAVATAJA,KAPHAJAPITTAJA,KAPHAJAVATAJA",,,,,,,,,,,,,,
,Sthaneeya vikruthi - as in Hamsaraj and Madhava Nidhana - clinical methods,Misc,Block,,,,,,"Vataja Table,Pittaja Table,Kaphaja Table",,,,,,,,,,,,,,,
,Prakruthi,Misc,Coded,,,,,,,"VATAJA,PITTAJA,KAPHAJA,VATAJAPITTAJA,PITTAJAKAPHAJA,VATAJAKAPHAJA,VATAJAPITTAJAKAPHAJA,PITTAJAVATAJA,KAPHAJAPITTAJA,KAPHAJAVATAJA",,,,,,,,,,,,,,
,Sthaneeya Vikruthi,Misc,Coded,,,,,,,"VATAJA,PITTAJA,KAPHAJA,VATAJAPITTAJA,PITTAJAKAPHAJA,VATAJAKAPHAJA,VATAJAPITTAJAKAPHAJA,PITTAJAVATAJA,KAPHAJAPITTAJA,KAPHAJAVATAJA",,,,,,,,,,,,,,
Selection of phanta for skin care,Churna used,Misc,Coded,,,,,,,"Manjista,Sariva,Yastimadhu,Triphala",,,,,,,,,,,,,,
Selection of phanta for skin care,Quantity,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Selection of oil for IMLD,Misc,Coded,,,,,,,"Pinda thaila,Nalpamaradhi thaila,Sarshapa thaila,Chandanadi thaila,Lakshadi thaila,Eladi thaila,Other thaila",,,,,,,,,,,,,,
,Any deviations from routine treatments with reasons,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Ekanga Swedana (with comments),Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Drug used in swedana and quantity,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Ingredient,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Any other specific treatments?,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Activities for Ayurvedic consultant,Misc,Block,,,,,,"Prakruthi,Sthaneeya Vikruthi,Selection of phanta for skin care,Selection of oil for IMLD,Any deviations from routine treatments with reasons,Ekanga Swedana (with comments),Drug used in swedana and quantity,Ingredient,Any other specific treatments?",,,,,,,,,,,,,,,
,Medical Team,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,3.9 Vikriti Pareeksha,Misc,Block,,,,,,"Sthaneeya vikruthi - as in Hamsaraj and Madhava Nidhana - clinical methods,Activities for Ayurvedic consultant,Medical Team",,,,,,,,,,,,,,,
,Part 3. Patient Examination,Misc,Block,,,,,,"3.1 History of present illness,3.2 Physical Examination at baseline,3.3 Photo documentation,3.4 Baseline Investigations,3.5 Limb Circumferential measurements template,3.6 Assessment of Lymphoedema,3.7 Dermatological Examination,3.8 Associated diseases and current medication,3.9 Vikriti Pareeksha",,,,,,,,,,,,,,,
,Flexion,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Extension,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Abduction,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Int Rotation,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Ext Rotation,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Right-Hip Assessment,Misc,Block,,,,,,"Flexion,Extension,Abduction,Int Rotation,Ext Rotation",,,,,,,,,,,,,,,
,Left-Hip Assessment,Misc,Block,,,,,,"Flexion,Extension,Abduction,Int Rotation,Ext Rotation",,,,,,,,,,,,,,,
,Assessment of ROM Table - HIP,Misc,Block,,,,,,"Right-Hip Assessment,Left-Hip Assessment",,,,,,,,,,,,,,,
,Right-Knee Assessment,Misc,Block,,,,,,"Flexion,Extension,Abduction,Int Rotation,Ext Rotation",,,,,,,,,,,,,,,
,Left-Knee Assessment,Misc,Block,,,,,,"Flexion,Extension,Abduction,Int Rotation,Ext Rotation",,,,,,,,,,,,,,,
,Assessment of ROM Table - KNEE,Misc,Block,,,,,,"Right-Knee Assessment,Left-Knee Assessment",,,,,,,,,,,,,,,
,Plantar Flexion,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Dorsi Flexion,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Right-ANKLE,Misc,Block,,,,,,"Plantar Flexion,Dorsi Flexion",,,,,,,,,,,,,,,
,Left-ANKLE,Misc,Block,,,,,,"Plantar Flexion,Dorsi Flexion",,,,,,,,,,,,,,,
,Assessment of ROM Table - ANKLE,Misc,Block,,,,,,"Right-ANKLE,Left-ANKLE",,,,,,,,,,,,,,,
,Right-TOE,Misc,Block,,,,,,"Plantar Flexion,Dorsi Flexion",,,,,,,,,,,,,,,
,Left-TOE,Misc,Block,,,,,,"Plantar Flexion,Dorsi Flexion",,,,,,,,,,,,,,,
,Assessment of ROM Table - TOE,Misc,Block,,,,,,"Right-TOE,Left-TOE",,,,,,,,,,,,,,,
,Assessment of ROM,Misc,Block,,,,,,"Assessment of ROM Table - HIP,Assessment of ROM Table - KNEE,Assessment of ROM Table - ANKLE,Assessment of ROM Table - TOE",,,,,,,,,,,,,,,
,Compensatory Movements,Misc,Coded,,,,,,,"Present,Absent",,,,,,,,,,,,,,
,Shifting of weight,Misc,Coded,,,,,,,"Present,Absent",,,,,,,,,,,,,,
,Initial contact,Misc,Coded,,,,,,,"Present,Absent",,,,,,,,,,,,,,
,Push off,Misc,Coded,,,,,,,"Present,Absent",,,,,,,,,,,,,,
,Shift of COG,Misc,Coded,,,,,,,"Anterior,Posterior,No change",,,,,,,,,,,,,,
,Arm Swing,Misc,Coded,,,,,,,"Present,Absent",,,,,,,,,,,,,,
,Right-Side Movements,Misc,Block,,,,,,"Compensatory Movements,Shifting of weight,Initial contact,Push off,Shift of COG,Arm Swing",,,,,,,,,,,,,,,
,Left-Side Movements,Misc,Block,,,,,,"Compensatory Movements,Shifting of weight,Initial contact,Push off,Shift of COG,Arm Swing",,,,,,,,,,,,,,,
,Movements Table,Misc,Block,,,,,,"Right-Side Movements,Left-Side Movements",,,,,,,,,,,,,,,
,4.1 Range of motion(ROM) of joints active,Misc,Block,,,,,,"Assessment of ROM,Right-Side Movements,Left-Side Movements",,,,,,,,,,,,,,,
,Shoulder Alignment,Misc,Coded,,,,,,,"Normal,Right side lower,Left side lower",,,,,,,,,,,,,,
,Level of pinna of Ear,Misc,Coded,,,,,,,"Same level,Right pinna lower,Left pinna lower",,,,,,,,,,,,,,
,Waist Angle,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Alignment of PSIS/ASIS,Misc,Coded,,,,,,,"In level,Not in level",,,,,,,,,,,,,,
,Scoliois,Misc,Coded,,,,,,,"Concave to left,Convex to right",,,,,,,,,,,,,,
,Primary curve,Misc,Coded,,,,,,,"Present,Absent",,,,,,,,,,,,,,
,Secondary curve,Misc,Coded,,,,,,,"Present,Absent,Cervical region,Lumbar region",,,,,,,,,,,,,,
,Pelvic tilt,Misc,Coded,,,,,,,"Present,Absent,Anterior,Lateral",,,,,,,,,,,,,,
,Right-Side Posture,Misc,Block,,,,,,"Shoulder Alignment,Level of pinna of Ear,Waist Angle,Alignment of PSIS/ASIS,Scoliois,Primary curve,Secondary curve,Pelvic tilt",,,,,,,,,,,,,,,
,Left-Side Posture,Misc,Block,,,,,,"Shoulder Alignment,Level of pinna of Ear,Waist Angle,Alignment of PSIS/ASIS,Scoliois,Primary curve,Secondary curve,Pelvic tilt",,,,,,,,,,,,,,,
,Posture Analysis Table,Misc,Block,,,,,,"Right-Side Posture,Left-Side Posture",,,,,,,,,,,,,,,
,4.2 Posture Analysis,Misc,Block,,,,,,Posture Analysis Table,,,,,,,,,,,,,,,
,Gait Change Examination,Misc,Coded,,,,,,,"Baseline,Followup",,,,,,,,,,,,,,
,Bunion - Affected limb,Misc,Coded,,,,,,,"Right-Foot,Left-Foot",,,,,,,,,,,,,,
,Tailor's Bunion - Affected Limb,Misc,Coded,,,,,,,"Right-Foot,Left-Foot",,,,,,,,,,,,,,
,Hammertoe deformity - Affected Limb,Misc,Coded,,,,,,,"Right-Foot,Left-Foot",,,,,,,,,,,,,,
,Flat Foot - Affected Limb,Misc,Coded,,,,,,,"Right-Foot,Left-Foot",,,,,,,,,,,,,,
,Hyperextension of toe (Hitchhiker's Toe) - Affected Limb,Misc,Coded,,,,,,,"Right-Foot,Left-Foot",,,,,,,,,,,,,,
,Pronated foot - Affected Limb,Misc,Coded,,,,,,,"Right-Foot,Left-Foot",,,,,,,,,,,,,,
,Genu valgum - Affected Limb,Misc,Coded,,,,,,,"Right-Knee,Left-Knee",,,,,,,,,,,,,,
,Flexion contracture of knee - Affected Limb,Misc,Coded,,,,,,,"Right-Knee,Left-Knee",,,,,,,,,,,,,,
,Excessive knee extension - Affected Limb,Misc,Coded,,,,,,,"Right-Knee,Left-Knee",,,,,,,,,,,,,,
,Baker's cyst - Affected Limb,Misc,Coded,,,,,,,"Right-Knee,Left-Knee",,,,,,,,,,,,,,
,Outer rotation of hip - Affected Limb,Misc,Coded,,,,,,,"Right-Hip,Left-Hip",,,,,,,,,,,,,,
,Anterior pelvic tilt - Affected Limb,Misc,Coded,,,,,,,"Right-Hip,Left-Hip",,,,,,,,,,,,,,
,Lateral pelvic tilt - Affected Limb,Misc,Coded,,,,,,,"Right-Hip,Left-Hip",,,,,,,,,,,,,,
,Affected Limb,Misc,Block,,,,,,"Tailor's Bunion - Affected Limb,Hammertoe deformity - Affected Limb,Flat Foot - Affected Limb,Hyperextension of toe (Hitchhiker's Toe) - Affected Limb,Pronated foot - Affected Limb,Genu valgum - Affected Limb,Flexion contracture of knee - Affected Limb,Excessive knee extension - Affected Limb,Baker's cyst - Affected Limb,Outer rotation of hip - Affected Limb,Anterior pelvic tilt - Affected Limb,Lateral pelvic tilt - Affected Limb",,,,,,,,,,,,,,,
,Bunion - Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Tailor's Bunion - Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Hammertoe deformity - Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Flat Foot - Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Hyperextension of toe (Hitchhiker's Toe) - Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Pronated foot - Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Genu valgum - Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Flexion contracture of knee - Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Excessive knee extension - Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Baker's cyst - Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Outer rotation of hip - Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Anterior pelvic tilt - Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Lateral pelvic tilt - Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
,Duration (months),Misc,Block,,,,,,"Tailor's Bunion - Duration,Hammertoe deformity - Duration,Flat Foot - Duration,Hyperextension of toe (Hitchhiker's Toe) - Duration,Pronated foot - Duration,Genu valgum - Duration,Flexion contracture of knee - Duration,Excessive knee extension - Duration,Baker's cyst - Duration,Outer rotation of hip - Duration,Anterior pelvic tilt - Duration,Lateral pelvic tilt - Duration",,,,,,,,,,,,,,,
,Improper Gait Examination Table,Misc,Block,,,,,,"Affected Limb,Duration (months)",,,,,,,,,,,,,,,
,Corn/callus formation,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Change in Sole,Misc,Block,,,,,,Corn/callus formation,,,,,,,,,,,,,,,
,Recommended exercises,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,4.3 Structural changes due to improper gait,Misc,Block,,,,,,"Gait Change Examination,Improper Gait Examination Table,Change in Sole",,,,,,,,,,,,,,,
,Part 4. Locomotor changes,Misc,Block,,,,,,"4.1 Range of motion(ROM) of joints active,4.2 Posture Analysis,4.3 Structural changes due to improper gait",,,,,,,,,,,,,,,
5.1 Activities of Multipurpose Health Worker,Removing/Training/monitoring the care of bandages,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
5.1 Activities of Multipurpose Health Worker,Hair parrying /nail Parrying,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
5.1 Activities of Multipurpose Health Worker,Soap for skin wash,Misc,Text,,,,,,,,,,,,,,,,,,,,,
5.1 Activities of Multipurpose Health Worker,Skin wash with soap and water. Which soap?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
5.1 Activities of Multipurpose Health Worker,Ringer lactate spray,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
5.1 Activities of Multipurpose Health Worker,Soaking in warm phanta,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
5.1 Activities of Multipurpose Health Worker,Drying of inter Digital clefts with Cotton cloth/dryer,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
5.1 Activities of Multipurpose Health Worker,Drying of Folds with Cotton Pad,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
