Parent,name,class,datatype,units,High Normal,Low Normal,Allow Decimal,locale,Block,synonym.1,answer,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,reference-term-source.1,reference-term-code.1,reference-term-relationship.1,reference-term-source.2,reference-term-code.2,reference-term-relationship.2,reference-term-source.3,reference-term-code.3,reference-term-relationship.3,reference-term-source.4,reference-term-code.4,reference-term-relationship.4,reference-term-source.5,reference-term-code.5,reference-term-relationship.5,reference-term-source.6,reference-term-code.6,reference-term-relationship.6
,PART 1: BASELINE DATA,Misc,Block,,,,,,"1.1 DEMOGRAPHIC DETAILS,1.2 ENVIRONMENTAL FACTORS,1.3 GENERAL INFORMATION ABOUT THE DISEASE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Mobility,Sitting or Getting out of a chair,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Mobility,Sitting or Getting up from floor,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Mobility,Standing for a long time,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Mobility,Lying down on cot,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Mobility,Climbing stairs,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Mobility,Wearing footwear,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Mobility,Walking long distances,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Mobility,Travel by public transportation,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Self Care,Dressing myself,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Self Care,Bathing,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Self Care,Washing clothes by myself,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Self Care,Difficulty in using Indian toilet,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Self Care,Difficulty in using Western toilet,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Usual activities,Problems in cooking,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Usual activities,Difficulty in cleaning floors,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Usual activities,Difficulty in gardening,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Usual activities,Difficulty in agrarian work,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Usual activities,Difficulty in continuing normal leisure activities,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Usual activities,Difficulty in continuing the job,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Usual activities,Difficulty in continuing the education,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disease Burden,"History of painful redness, swelling and cellulitis of leg(filarial fever)",Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disease Burden,Foul smell (Odour),Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disease Burden,Itching,Finding,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disease Burden,Wound,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,CIEL,159328,SAME-AS,SNOMED,416462003,SAME-AS,,,,,,,,,,,,
Disease Burden,Weight / size of limb,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pain/Discomfort,Pain increases at night,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pain/Discomfort,Pain increases during the day,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pain/Discomfort,Pain increases while walking,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pain/Discomfort,Pain increases while sitting,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pain/Discomfort,Pain in joints,Diagnosis,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pain/Discomfort,Pain in the unaffected part of body,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pain/Discomfort,Painful ulcers,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psychological Health,Experience sense of failure?,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psychological Health,Fear something bad might happen to you?,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psychological Health,Discouraged / tensed about the future?,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psychological Health,Feeling neglected by friends and family members?,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psychological Health,Feeling lonely,Diagnosis,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,CIEL,140470,SAME-AS,SNOMED,267076002,SAME-AS,CIEL,159891,SAME-AS,,,,,,,,,
Psychological Health,Feeling tensed about your disease?,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psychological Health,Find it difficult in concentration & memory?,Diagnosis,Coded,,,,,,,Lack of Concentration,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,CIEL,159891,SAME-AS,SNOMED,60032008,SAME-AS,CIEL,152782,SAME-AS,,,,,,,,,
Social participation,Has your lifestyle changed after getting  the disease?,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social participation,Do you have problem in moving around freely without feeling self-conscious?,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social participation,Do you have problem in approaching people in the community?,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social participation,Do you have problem joining in social activities/get together?,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social participation,How much problem you have faced because of ill health?,Misc,Coded,,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Domain of Indian Lifestyle,Misc,Block,,,,,,"Personal Mobility,Self Care,Usual activities,Disease Burden,Pain/Discomfort,Psychological Health,Social participation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,How do you rate your overall health in the past 30 days?,Misc,Block,,,,,,Domain of Indian Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Part 2. Lymphatic Filariasis Specific Quality of Life Questionnaire (LFSQQ),Misc,Block,,,,,,How do you rate your overall health in the past 30 days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Complaint Episode,Misc,Coded,,,,,,,,"Recent inflammatory episode - Right,Recent inflammatory episode - Left,Using injection/Consuming antibiotics for prevention of fever attacks,Genital organs affected,Surgery for hydrocele,Sudden increase in limb size - Right,Sudden increase in limb size - Left,Discharge from the limb/ulcer/eczema - Right,Discharge from the limb/ulcer/eczema - Left,Local lymphadenopathy - Right,Local lymphadenopathy - Left,Presence of odor - Right,Presence of odor - Left,Presence of fibrous nodules - Right,Presence of fibrous nodules - Left",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Non-Coded Complaint,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Frequency/Duration,"Misc, Duration",Numeric,,,,,,,,,,,,,,,,,,,,,"2688, 1103 ",,,,,,,,,,,,,,,,
,Complaint Information,Concept Details,,,,,,,,,,,Complaint Episode,Non-Coded Complaint,Frequency/Duration,,,,,,,,,,,,,,,,,,,,,,,,,
,How the odema was developed,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clinical assessment of aetiology,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Family History (pedigree chart),Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical History,Mode of treatment,Misc,Coded,,,,,,,,"Modern medicine,Homoeopathy,Folklore medicine,Ayurveda,Unani,Any other(specify)",,,,,,,,,,,,,1118,,,,,,,,,,,,,,,,
"Medical History (MEDICATION HISTORY, 4064, ConvSet)",Medication name,Misc,Text,,,,,,,,,,,,,,,,,,,,,4065,,,,,,,,,,,,,,,,
"Medical History (MEDICATION HISTORY, 4064, ConvSet)",Duration,question,,,,,,,,Medication duration,,,Mode of treatment,Non-Coded Chief Complaint,Chief Complaint Duration,,,,,,,,CIEL,159368,SAME-AS,SNOMED,261774000,SAME-AS,AMPATH,1897,SAME_AS,,,,,,,,,
"Medical History (MEDICATION HISTORY, 4064, ConvSet)",Treatment outcome,Misc,Coded,,,,,,,,"Improved,Aggravated,No change,Cured,Caused cellulitis",,,,,,,,,,,,,2245,,,,,,,,,,,,,,,,
,3.1 History of present illness,Misc,Block,,,,,,"Complaint Information,How the odema was developed,Clinical assessment of aetiology,Family History (pedigree chart),Medical History",,,,,,,,,,,,,,,3027,,,,,,,,,,,,,,,,
"General Examination (GENERAL EXAM FINDINGS, 3922, finding) (REVIEW OF SYSTEMS, GENERAL, 3876, Question)",Head Exam,Question,Text,,,,,,,"REVIEW OF SYSTEMS, HEENT",,,,,,,,,,,,,CIEL,1070,SAME-AS,SNOMED NP,415300000,NARROWER-THAN,CIEL,159615,SAME-AS,AMPATH,1070,SAME-AS,SNOMED MVP,1.07E+13,SAME-AS,,,
"General Examination (GENERAL EXAM FINDINGS, 3922, finding) (REVIEW OF SYSTEMS, GENERAL, 3876, Question)",Eye Exam,ConvSet,Text,,,,,,,Eye diagnoses,,,,,,,,,,,,,CIEL,160172,,,,,,,,,,,,,,,,
"General Examination (GENERAL EXAM FINDINGS, 3922, finding) (REVIEW OF SYSTEMS, GENERAL, 3876, Question)",Neck Exam,Test,Text,,,,,,,,,,,,,,,,,,,,,4893,,,,,,,,,,,,,,,,
"General Examination (GENERAL EXAM FINDINGS, 3922, finding) (REVIEW OF SYSTEMS, GENERAL, 3876, Question)",Thorax Exam,Finding,Text,,,,,,,Chest examination (text),,,,,,,,,,,,,CIEL,160689,SAME-AS,SNOMED NP,272016000,NARROWER-THAN,,,,,,,,,,,,
"General Examination (GENERAL EXAM FINDINGS, 3922, finding) (REVIEW OF SYSTEMS, GENERAL, 3876, Question)",Abdomen Exam,ConvSet,Text,,,,,,,Abdomen examination detail,,,,,,,,,,,,,CIEL,160949,SAME-AS,,,,,,,,,,,,,,,
"General Examination (GENERAL EXAM FINDINGS, 3922, finding) (REVIEW OF SYSTEMS, GENERAL, 3876, Question)",Extremeties Exam,Finding,Text,,,,,,,EXTREMITY EXAM FINDINGS,,,,,,,,,,,,,CIEL,1127,SAME-AS,SNOMED MVP,1.13E+13,SAME-AS,SNOMED NP,271906008,NARROWER-THAN,AMPATH,1127,SAME-AS,,,,,,
Systemic Examination,CNS,Question,Text,,,,,,,"REVIEW OF SYSTEMS, CENTRAL NERVOUS SYSTEM",,,,,,,,,,,,,CIEL,159615,SAME-AS,AMPATH,1082,SAME-AS,SNOMED MVP,1.08E+13,SAME-AS,CIEL,159615,SAME-AS,,,,,,
Systemic Examination,CVS,Question,Text,,,,,,,"REVIEW OF SYSTEMS, CARDIOPULMONARY",,,,,,,,,,,,,CIEL,159615,SAME-AS,AMPATH,1071,SAME-AS,SNOMED MVP,1.07E+13,SAME-AS,,,,,,,,,
Systemic Examination,"RIS (REVIEW OF SYSTEMS, CARDIOPULMONARY)",Question,Text,,,,,,,"REVIEW OF SYSTEMS, CARDIOPULMONARY",,,159615,SAME-AS,AMPATH,1071,SAME-AS,SNOMED MVP,1.07E+13,SAME-AS,CIEL,CIEL,CIEL,159615,SAME-AS,AMPATH,1071,SAME-AS,SNOMED MVP,1.07E+13,SAME-AS,,,,,,,,,
Systemic Examination,GIUS,Question,Text,,,,,,,"REVIEW OF SYSTEMS, GENITOURINARY",,,,,,,,,,,,,CIEL,1080,SAME-AS,AMPATH,1080,SAME-AS,SNOMED MVP,1.08E+13,SAME-AS,CIEL,159615,SAME-AS,,,,,,
Systemic Examination,Integumentary/Lymphatic system,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.2 Physical Examination at baseline,Misc,Block,,,,,,"ER General Notes, Physical Examination Details",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3 Photo documentation,View,Misc,Coded,,,,,,,,"Anterior view,Right lateral view,Posterior view,Left lateral view,Video recording of special procedure,Video recording of gait",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3 Photo documentation,Image,Image,Complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3 Photo documentation,Others/Discussed,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Count,Test,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N:________ %,test,Numeric,,,,,,,NEUTROPHILS (%) - MICROSCOPIC EXAM,,,,,,,,,,,,,CIEL,1336,SAME-AS,AMPATH,1336,SAME-AS,,,,,,,,,,,,
,L:________ %,test,Numeric,,,,,,,LYMPHOCYTES (%) - MICROSCOPIC EXAM,,,,,,,,,,,,,CIEL,1338,SAME-AS,SNOMED,271036002,SAME-AS,AMPATH,1338,SAME-AS,,,,,,,,,
,E:________ %,test,Numeric,,,,,,,EOSINOPHILS (%) - MICROSCOPIC EXAM,,,,,,,,,,,,,CIEL,1340,SAME-AS,SNOMED,310540006,SAME-AS,AMPATH,1340,SAME-AS,,,,,,,,,
,B:________ %,test,Numeric,,,,,,,BASOPHILS (%) - MICROSCOPIC EXAM,,,,,,,,,,,,,CIEL,1341,SAME-AS,SNOMED,271038001,SAME-AS,AMPATH,1341,SAME-AS,,,,,,,,,
,M:________ %,test,Numeric,,,,,,,MONOCYTES (%) - MICROSCOPIC EXAM,,,,,,,,,,,,,CIEL,1339,SAME-AS,SNOMED,271037006,SAME-AS,AMPATH,1339,SAME-AS,,,,,,,,,
,Differential Count,LabSet,Block,,,,,,"N:________ %,L:________ %,E:________ %,B:________ %,M:________ %",,,,,,,,,,,,,,CIEL,1026,SAME-AS,SNOMED,165511009,SAME-AS,,,,,,,,,,,,
,ESR at 1st hour,LabTest,Numeric,,,,,,,ESR (Blood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hb%(gm%),LabTest,Numeric,,,,,,,Haemoglobin (Blood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plasma glucose level,Finding,Numeric,,,,,,,PGL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Serum creatinine,Test,Numeric,,,,,,,SERUM CREATININE,,,,,,,,,,,,,CIEL,790,SAME-AS,SNOMED,113075003,SAME-AS,AMPATH,790,SAME-AS,LOINC,2160-0,NARROWER-THAN,,,,,,
,ALT,Test,Numeric,,,,,,,ALANINE AMINOTRANSFERASE,,,,,,,,,,,,,CIEL,1271,SAME-AS,SNOMED,390961000,SAME-AS,AMPATH,654,SAME-AS,SNOMED NP,34608000,NARROWER-THAN,,,,,,
,SGPT (ALANINE AMINOTRANSFERASE),Test,Numeric,,,,,,,ALANINE AMINOTRANSFERASE,,,,,,,,,,,,,,3661,,,,,,,,,,,,,,,,
,SGOT,Test,Numeric,,,,,,,ASPARTATE AMINOTRANSFERASE,,,,,,,,,,,,,CIEL,1271,SAME-AS,SNOMED,250641004,SAME-AS,AMPATH,1271,SAME-AS,LOINC,48136-6  ,NARROWER-THAN,,,,,,
,Serum Bilirubin,test,Numeric,,,,,,,Total Bilirubin,,,,,,,,,,,,,CIEL,655,SAME-AS,SNOMED,359986008,SAME-AS,AMPATH,655,SAME-AS,LOINC,35672-5,NARROWER-THAN,,,,,,
,Liver function tests,LabSet,Block,,,,,,,"ALT,SGPT,SGOT,Serum Bilirubin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Filariasis card test(ICT),Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Urine Analysis,LabSet,Text,,,,,,,Urine Routine Examination,,,,,,,,,,,,,,1469,,,,,,,,,,,,,,,,
,ECG,Misc,Text,,,,,,,ECG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pus for C/S,LabSet,Text,,,,,,,Culture (Pus),Culture (Pus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Doppler study,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ultrasonography of skin,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other specific investigation,ConvSet,Text,,,,,,,Other Investigations,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,
,3.4 Baseline Investigations,Misc,Block,,,,,,"Total Count,Differential Count,ESR at 1st hour,Hb%(gm%),Plasma glucose level (PGL),Serum creatinine,Liver function tests,Filariasis card test(ICT),Urine Analysis,ECG,Pus for C/S,Doppler study,Ultrasonography of skin,Other specific investigation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Limb Length from ASIS to ground,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Foot Length from medial side,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maximum calf bulk(in standing),Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mid thigh,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Patellar region,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maximal bulk,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,End of calf muscle bulk,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ankle,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mid foot,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Metatarsal ,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Distance from ASIS ,Misc,Block,,,,,,"Limb Length from ASIS to ground,Foot Length from medial side,Maximum calf bulk(in standing),Mid thigh,Patellar region,Maximal bulk,End of calf muscle bulk,Ankle,Mid foot,Metatarsal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RIGHT LOWER EXTREMITY,Anatomy,Block,,,,,,"Limb Length from ASIS to ground,Foot Length from medial side,Maximum calf bulk(in standing),Mid thigh,Patellar region,Maximal bulk,End of calf muscle bulk,Ankle,Mid foot,Metatarsal",,,,,,,,,,,,,,,4023,,,,,,,,,,,,,,,,
,LEFT LOWER EXTREMITY,Anatomy,Block,,,,,,"Limb Length from ASIS to ground,Foot Length from medial side,Maximum calf bulk(in standing),Mid thigh,Patellar region,Maximal bulk,End of calf muscle bulk,Ankle,Mid foot,Metatarsal",,,,,,,,,,,,,,,4022,,,,,,,,,,,,,,,,
,Measuring points(cms) from ASIS ,Misc,Block,,,,,,"Distance from ASIS,Right Limb,Left Limb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limb volume (Displaced water method),RIGHT LOWER EXTREMITY,Anatomy,Block,,,,,,"Limb Length from ASIS to ground,Foot Length from medial side,Maximum calf bulk(in standing),Mid thigh,Patellar region,Maximal bulk,End of calf muscle bulk,Ankle,Mid foot,Metatarsal",,,,,,,,,,,,,,,4023,,,,,,,,,,,,,,,,
Limb volume (Displaced water method),LEFT LOWER EXTREMITY,Anatomy,Block,,,,,,"Limb Length from ASIS to ground,Foot Length from medial side,Maximum calf bulk(in standing),Mid thigh,Patellar region,Maximal bulk,End of calf muscle bulk,Ankle,Mid foot,Metatarsal",,,,,,,,,,,,,,,4022,,,,,,,,,,,,,,,,
,Waist circumference,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Abdominal girth,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Height,Test,Numeric,,,,,,,HEIGHT (CM),HEIGHT (CM),,,,,,,,,,,,CIEL,5090,SAME-AS,SNOMED,50373000,SAME-AS,AMPATH,5090,SAME-AS,,,,,,,,,
,Body Weight(Kg),Misc,Numeric,,,,,,,"Nutrition, Weight as on Date",,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,
,Body weight time of measurement,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Body Mass index ,Computed,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Measured by,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reason if volume measurement not done,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Volume and body weight,Misc,Block,,,,,,"Limb volume (Displaced water method),Waist circumference,Abdominal girth,Height?,Body Weight(Kg),Body weight time of measurement,Body Mass index,Measured by,Reason if volume measurement not done",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.5 Limb Circumferential measurements template,Misc,Block,,,,,,"Measuring points(cms) from ASIS,Volume and body weight",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oedema,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grading type,Misc,Coded,,,,,,,,"I - Pitting edemaoedema may present; completely resolve on elevation (during overnight) and normal skin,II(early) - Pitting edemaoedema manifests; does not resolve completely  on elevation (overnight). Normal skin,II(late) - Late stages of II with non-pitting oedema & thickened skin,III - Oedema is not pitting with tropic skin changes; Acanthosis/Fat deposits/Warty over growth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grading* Assessment Right,Misc,Block,,,,,,"Oedema,Grading type",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grading* Assessment Left,Misc,Block,,,,,,"Oedema,Grading type",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grading Table,Misc,Block,,,,,,"Grading* Assessment Right,Grading* Assessment Left",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Obesity,Misc,Text,,,,,,,,,,,,,,,,,,,,,1778,,,,,,,,,,,,,,,,
,Is it lipedema?,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grading*,Misc,Block,,,,,,"Grading Table,Obesity related?,Is it lipedema?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Second great toe thickness,Right skin fold,Misc,Coded,,,,,,,,"1+ Easily pinchable like normal skin,2+ Skin Thickened but pinchable,3+ Skin Thickened but hardly pinchable,4+ Skin Thickened can not be pinched; Stemmer's Sign Positive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Second great toe thickness,Left skin fold,Misc,Coded,,,,,,,,"1+ Easily pinchable like normal skin,2+ Skin Thickened but pinchable,3+ Skin Thickened but hardly pinchable,4+ Skin Thickened can not be pinched; Stemmer's Sign Positive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid foot thickness,Right skin fold,Misc,Coded,,,,,,,,"1+ Easily pinchable like normal skin,2+ Skin Thickened but pinchable,3+ Skin Thickened but hardly pinchable,4+ Skin Thickened can not be pinched; Stemmer's Sign Positive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid foot thickness,Left skin fold,Misc,Coded,,,,,,,,"1+ Easily pinchable like normal skin,2+ Skin Thickened but pinchable,3+ Skin Thickened but hardly pinchable,4+ Skin Thickened can not be pinched; Stemmer's Sign Positive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any changes in grading at the different locations of limb,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any changes in grading at the different locations of limb,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Skin Fold thickness,Misc,Block,,,,,,"Second great toe thickness,Mid foot thickness,Any changes in grading at the different locations of limb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.6 Assessment of Lymphoedema,Misc,Block,,,,,,"Grading*,Skin Fold thickness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADLA,Fever with Chills,Diagnosis,Boolean,,,,,,,,,,,,,,,,,,,,,37371,,,,,,,,,,,,,,,,
ADLA,Nausea and vomiting,Diagnosis,Boolean,,,,,," Nausea, vomiting and diarrhea"," Nausea, vomiting and diarrhea","nausea, vomiting and diarrhea",,,,,,,,,,,,CIEL,157892,SAME-AS,SNOMED,2919008,SAME-AS,ICD-10-WHO NP,K52.9,NARROWER-THAN,,,,,,,,,
ADLA,Lymphadenitis,Diagnosis,Coded,,,,,,,Acute Lymphadenitis,"Right-Limb,Left-Limb,Both limbs",,,,,,,,,,,,CIEL,121999,SAME-AS,SNOMED,41174002,SAME-AS,ICD-10-WHO,L04.9,SAME-AS,,,,,,,,,
